City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kargasok,59.0556,80.8572,-11.1,93,100,2.23,RU,1676778967
83,tura,25.5198,90.2201,26.15,28,0,1.28,IN,1676778967
84,iqaluit,63.7506,-68.5145,-39.06,65,20,3.09,CA,1676778967
85,canutama,-6.5339,-64.3831,22.51,97,65,0.96,BR,1676778968
86,lasa,46.6166,10.7002,6.38,58,100,2.67,IT,1676778968
87,georgetown,5.4112,100.3354,29.96,70,20,4.12,MY,1676778861
88,cape town,-33.9258,18.4232,17.73,85,0,4.92,ZA,1676778968
89,saskylakh,71.9167,114.0833,-18.62,97,100,4.03,RU,1676778969
90,manokwari,-0.8667,134.0833,24.6,88,100,0.2,ID,1676778969
91,qaanaaq,77.484,-69.3632,-19.98,63,99,3.64,GL,1676778969
92,grindavik,63.8424,-22.4338,2.26,93,100,4.63,IS,1676778969
93,desbiens,48.4178,-71.9495,-7.02,88,87,6.09,CA,1676778969
94,guaraciaba do norte,-4.1669,-40.7475,17.71,94,100,1.7,BR,1676778969
95,viedma,-40.8135,-62.9967,17.35,51,81,7.07,AR,1676778970
96,carnarvon,-24.8667,113.6333,28.58,63,1,7.7,AU,1676778970
97,tiksi,71.6872,128.8694,-30.16,99,43,3.12,RU,1676778970
98,san policarpo,12.1791,125.5072,25.45,91,100,3.65,PH,1676778970
99,puerto ayora,-0.7393,-90.3518,26.97,94,59,1.34,EC,1676778970
100,marienburg,54.0359,19.0266,3.35,82,71,5.57,PL,1676778971
101,gotsu,35.0,132.2167,10.01,74,100,8.76,JP,1676778971
102,puerto del rosario,28.5004,-13.8627,13.86,88,0,3.09,ES,1676778971
103,banyo,6.75,11.8167,18.16,28,33,1.41,CM,1676778972
104,buta,2.7858,24.73,19.56,45,78,1.27,CD,1676778972
105,cururupu,-1.8283,-44.8683,22.53,98,100,1.33,BR,1676778972
106,port augusta,-32.5,137.7667,34.82,15,0,3.87,AU,1676778973
107,norman wells,65.282,-126.8329,-25.98,76,75,1.54,CA,1676778973
108,geraldton,-28.7667,114.6,30.23,45,1,6.17,AU,1676778679
109,sangar,63.9242,127.4739,-25.87,94,100,1.47,RU,1676778974
110,kaitangata,-46.2817,169.8464,17.23,74,94,5.32,NZ,1676778974
111,thompson,55.7435,-97.8558,-27.91,83,0,2.06,CA,1676778974
112,port hardy,50.6996,-127.4199,4.1,81,100,3.09,CA,1676778974
113,saint-augustin,51.226,-58.6502,-12.65,88,100,4.55,CA,1676778975
114,karimganj,24.8667,92.35,27.04,31,0,0.9,IN,1676778975
115,quzhou,28.9594,118.8686,11.76,83,100,2.54,CN,1676778975
116,baruun-urt,46.6806,113.2792,-11.31,57,0,7.02,MN,1676778975
117,mayor pablo lagerenza,-19.9309,-60.7718,16.64,48,100,2.7,PY,1676778975
118,buraydah,26.326,43.975,9.25,29,91,3.25,SA,1676778975
119,novyy urengoy,66.0833,76.6333,-20.45,100,63,2.53,RU,1676778976
120,arvika,59.6553,12.5852,-2.66,44,0,2.63,SE,1676778976
121,leningradskiy,69.3833,178.4167,-36.81,98,67,1.88,RU,1676778976
122,provideniya,64.3833,-173.3,-19.8,54,75,8.05,RU,1676778977
123,riccione,44.0051,12.6447,11.08,82,99,2.8,IT,1676778977
124,maria aurora,15.7967,121.4737,23.23,96,100,0.76,PH,1676778977
125,hobart,-42.8794,147.3294,29.47,28,0,9.77,AU,1676778808
126,arawa,-6.2132,155.5367,28.59,80,98,0.85,PG,1676778977
127,jamestown,42.097,-79.2353,2.06,54,97,2.24,US,1676778977
128,talnakh,69.4865,88.3972,-15.84,96,100,4.17,RU,1676778978
129,tomatlan,19.9333,-105.25,19.11,88,0,1.27,MX,1676778978
130,barsovo,61.1667,73.1667,-17.93,96,100,2.25,RU,1676778978
131,tucumcari,35.1717,-103.725,9.97,37,0,5.93,US,1676778978
132,acapulco,16.8634,-99.8901,25.17,70,23,2.38,MX,1676778978
133,ondjiva,-17.0667,15.7333,14.95,34,46,2.43,AO,1676778978
134,xinzhi,36.4989,111.7047,5.16,24,0,2.08,CN,1676778979
135,iglesias,39.3114,8.535,3.77,84,0,1.31,IT,1676778979
136,hamadan,34.7992,48.5146,-14.51,92,0,1.03,IR,1676778979
137,shetpe,44.1667,52.1167,1.43,87,100,6.25,KZ,1676778979
138,kahului,20.8947,-156.47,24.98,86,100,0.89,US,1676778979
139,lagoa,39.05,-27.9833,13.93,82,5,3.2,PT,1676778980
140,khatanga,71.9667,102.5,-13.02,93,100,7.62,RU,1676778980
141,necochea,-38.5473,-58.7368,11.67,71,0,5.76,AR,1676778980
142,preobrazheniye,42.9019,133.9064,-2.27,91,100,1.13,RU,1676778981
143,morondava,-20.2833,44.2833,25.19,86,17,2.79,MG,1676778981
144,the valley,18.217,-63.0578,24.92,69,7,9.94,AI,1676778982
145,narsaq,60.9167,-46.05,-6.3,96,100,4.91,GL,1676778982
146,coquimbo,-29.9533,-71.3436,19.85,63,0,0.0,CL,1676778982
147,chokurdakh,70.6333,147.9167,-42.89,99,84,0.13,RU,1676778982
148,saint anthony,45.0205,-93.218,0.37,84,0,2.57,US,1676778983
149,oranjestad,12.524,-70.027,24.97,78,40,5.66,AW,1676778983
150,bethel,41.3712,-73.414,3.14,57,26,0.89,US,1676778983
151,turka,49.1541,23.0297,2.11,98,100,2.05,UA,1676778984
152,praia da vitoria,38.7333,-27.0667,13.2,100,20,2.44,PT,1676778984
153,cortes,41.9395,-1.4396,4.03,50,50,2.43,ES,1676778984
154,plouzane,48.3833,-4.6167,10.03,93,100,3.6,FR,1676778985
155,mandalgovi,45.7625,106.2708,-4.98,37,0,2.95,MN,1676778985
156,comodoro rivadavia,-45.8667,-67.5,19.92,30,0,10.8,AR,1676778985
157,hirado,33.3597,129.5531,11.88,68,100,10.69,JP,1676778911
158,laguna,38.421,-121.4238,11.84,54,0,0.0,US,1676778985
159,uruguaiana,-29.7547,-57.0883,13.67,31,10,3.53,BR,1676778985
160,saldanha,-33.0117,17.9442,17.05,90,1,3.43,ZA,1676778986
161,pisco,-13.7,-76.2167,24.03,83,0,6.69,PE,1676778986
162,tobermory,45.2501,-81.6665,1.4,74,97,4.33,CA,1676778986
163,tairua,-37.0167,175.85,21.88,64,53,3.17,NZ,1676778986
164,mar del plata,-38.0023,-57.5575,15.49,85,0,2.68,AR,1676778986
165,kaeo,-35.1,173.7833,20.99,68,20,3.79,NZ,1676778986
166,vostok,46.4856,135.8833,-11.01,79,100,2.27,RU,1676778987
167,lambarene,-0.7001,10.2406,23.96,94,72,0.33,GA,1676778987
168,fairbanks,64.8378,-147.7164,-14.39,85,0,0.0,US,1676778987
169,buritis,-15.6178,-46.4233,20.66,95,100,1.06,BR,1676778987
170,cidreira,-30.1811,-50.2056,18.2,56,63,2.95,BR,1676778987
171,broome,42.2506,-75.833,1.88,62,0,4.12,US,1676778692
172,brae,60.3964,-1.353,5.99,74,86,5.88,GB,1676778987
173,namibe,-15.1961,12.1522,20.01,73,100,2.28,AO,1676778988
174,hammerfest,70.6634,23.6821,-2.75,80,40,0.51,NO,1676778988
175,ada,43.4166,-116.1262,0.57,62,98,2.24,US,1676778988
176,fortuna,40.5982,-124.1573,7.03,92,0,0.0,US,1676778989
177,bandarbeyla,9.4942,50.8122,23.79,78,4,7.3,SO,1676778989
178,faya,18.3851,42.4509,8.29,69,1,0.98,SA,1676778990
179,mbandaka,0.0487,18.2603,22.38,44,100,0.69,CD,1676778990
180,honiara,-9.4333,159.95,28.37,78,94,1.2,SB,1676778991
181,raudeberg,61.9875,5.1352,0.48,76,100,0.39,NO,1676778991
182,codrington,-38.2667,141.9667,22.89,54,0,6.94,AU,1676778991
183,aksu,41.1231,80.2644,1.26,52,98,0.77,CN,1676778991
184,jijiang,29.2906,106.2542,15.83,51,40,0.69,CN,1676778991
185,bilibino,68.0546,166.4372,-20.77,96,100,0.12,RU,1676778991
186,moose factory,51.2585,-80.6094,-28.01,76,0,1.03,CA,1676778991
187,labuhan,-6.8844,112.2051,29.52,69,89,4.7,ID,1676778992
188,grenaa,56.4158,10.8783,0.33,68,100,7.77,DK,1676778992
189,adrian,41.8975,-84.0372,3.2,70,100,0.89,US,1676778992
190,klaksvik,62.2266,-6.589,2.51,77,100,6.0,FO,1676778992
